VisitYear,Business,Couples,Family,Friends,Solo
2013,1.1474269819193326,35.9874826147427,35.60500695410292,19.645340751043115,7.614742698191932
2014,1.1274934952298352,36.18820468343451,33.67302688638335,21.769297484822204,7.241977450130095
2015,1.178026205072725,40.173097728092316,27.92402933044837,22.142084385142443,8.58276235124414
2016,1.1043153244988109,41.30139313625552,27.973156642881413,21.08392796466191,8.537206931702345
2017,1.2197955390334572,42.77416356877323,26.765799256505574,20.6203531598513,8.619888475836431
2018,1.3602457218078103,45.92657598361855,24.221149627029398,20.05265467310224,8.439373994442006
2019,0.8671586715867159,42.61992619926199,31.236162361623617,16.826568265682656,8.450184501845017
2020,0.40733197556008144,37.88187372708758,35.234215885947044,18.73727087576375,7.739307535641547
2021,0.0,38.23529411764706,29.411764705882355,26.47058823529412,5.88235294117647
2022,0.41841004184100417,27.615062761506277,53.55648535564853,12.133891213389122,6.2761506276150625
