AttractionId,attraction_total_visits,attraction_avg_rating,attraction_rating_std,attraction_distinct_users
369,2641,3.4100719424460433,1.2922982941975736,2571
481,2016,4.271825396825397,0.8665380429735543,1992
640,12369,4.265179076724068,0.8751368691856012,11487
650,2930,3.974402730375427,0.9800119502302582,2808
673,2832,3.8054378531073447,1.1263825457507783,2754
737,3198,4.200437773608505,0.9001649637015466,3156
748,5585,4.15810205908684,0.947341692612554,5415
749,2184,3.894230769230769,0.9948486897872323,2152
824,3216,4.217661691542289,0.8856268598949931,3183
841,6079,4.645829906234578,0.641915295411237,5605
877,36,4.027777777777778,0.8101538164751226,36
888,381,4.611548556430447,0.7227673177879474,381
897,55,3.963636363636364,0.8598801889763129,54
913,53,4.09433962264151,0.838133249535405,52
920,43,4.3023255813953485,0.8600909066275172,43
928,28,4.571428571428571,0.7417981870189159,28
937,64,3.578125,0.7303986191506272,64
947,83,4.698795180722891,0.6388812584631951,83
949,31,4.032258064516129,1.0796255822503753,31
975,53,4.2075471698113205,0.9679178796626717,53
1133,129,4.503875968992248,0.7512908787521143,119
1137,115,3.8173913043478263,1.1438823450084226,82
1166,946,3.807610993657505,1.0353463244136691,521
1171,1576,4.054568527918781,0.9975548221714182,855
1220,328,4.192073170731708,0.978201855062342,224
1225,190,3.905263157894737,1.0990489800460397,162
1238,280,4.139285714285714,1.0010171478357088,169
1278,770,4.211688311688311,0.9295711255716239,477
1280,324,3.8055555555555554,1.011925791770096,246
1297,673,3.50222882615156,1.092620441737903,472
