TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,is_ambiguous_repeat
3,70456,2022,10,2,640,5,False
8,7567,2022,10,4,640,5,False
9,79069,2022,10,3,640,5,False
10,31019,2022,10,3,640,3,False
15,43611,2022,10,2,640,3,False
18,43471,2022,10,4,640,5,False
22,76492,2022,9,2,640,4,False
23,20977,2022,10,4,640,5,False
28,18655,2022,9,2,640,3,False
29,62907,2022,9,2,640,5,False
31,86054,2022,9,2,640,5,False
33,41979,2022,9,2,640,5,False
39,38726,2022,9,4,640,3,False
43,67147,2022,8,2,640,4,False
44,2307,2022,9,2,640,4,False
45,3660,2022,9,2,640,5,False
46,50130,2022,9,4,640,3,False
54,30450,2022,8,2,640,4,False
56,82637,2022,7,3,640,4,False
61,33716,2022,7,5,640,5,False
64,46517,2022,8,3,640,1,False
66,50127,2022,8,2,640,5,False
67,61876,2022,8,2,640,5,False
68,16769,2022,6,2,640,5,False
69,9804,2022,7,2,640,4,False
72,44419,2022,7,2,640,5,False
73,84531,2022,7,2,640,5,False
75,83915,2022,7,2,640,5,False
76,62742,2022,7,2,640,4,False
77,47615,2022,7,2,640,5,False
78,85459,2022,7,3,640,5,False
80,71946,2022,7,4,640,3,False
82,54719,2022,7,4,640,5,False
87,16291,2022,7,3,640,4,False
93,18137,2022,6,2,640,1,False
95,37338,2022,6,3,640,5,False
97,18628,2022,6,3,640,4,False
103,47542,2022,6,5,640,3,False
105,71155,2022,6,4,640,5,False
106,73515,2022,6,2,640,5,False
111,1953,2022,5,4,640,4,False
112,31372,2022,5,2,640,4,False
114,35045,2022,5,2,640,5,False
116,79488,2022,4,3,640,2,False
117,14186,2022,4,3,640,4,False
123,78554,2021,10,2,640,5,False
124,30511,2021,11,4,640,5,False
127,50138,2021,7,4,640,5,False
132,83974,2020,10,5,640,5,False
133,40006,2021,5,5,640,5,False
136,50311,2021,1,2,640,4,False
138,56894,2021,1,2,640,5,False
141,36421,2020,12,4,640,5,False
143,62902,2020,1,3,640,5,False
144,61175,2020,12,2,640,5,False
145,61849,2019,11,2,640,4,False
150,51784,2019,10,2,640,5,False
158,61709,2019,12,2,640,5,False
168,64920,2020,3,2,640,4,False
170,27538,2020,4,4,640,5,False
171,27449,2019,7,3,640,4,False
172,64392,2020,3,2,640,5,False
174,79911,2019,11,2,640,5,False
176,55535,2020,3,2,640,5,False
181,51283,2020,3,2,640,4,False
183,73796,2020,3,4,640,4,False
185,21207,2020,3,4,640,3,False
187,23868,2020,3,4,640,5,False
190,13954,2019,8,3,640,3,False
192,55381,2019,6,4,640,2,False
194,71073,2020,3,2,640,5,False
195,113,2020,3,2,640,4,False
205,16816,2020,3,2,640,5,False
206,41624,2020,3,2,640,5,False
207,33038,2020,3,3,640,5,False
208,46031,2020,2,5,640,4,False
211,81844,2020,3,2,640,5,False
212,64368,2020,2,3,640,5,False
213,51849,2020,3,4,640,5,False
223,53252,2019,4,4,640,5,False
224,29563,2020,3,3,640,5,False
225,66839,2020,2,3,640,4,False
226,42947,2020,1,2,640,5,False
231,77269,2020,3,2,640,4,False
232,4371,2020,3,2,640,5,False
233,25561,2019,6,2,640,5,False
236,16514,2020,3,2,640,3,False
237,52730,2020,3,2,640,5,False
238,21256,2020,3,2,640,5,False
239,45191,2020,3,2,640,5,False
240,81154,2020,3,2,640,4,False
241,57365,2020,3,2,640,4,False
242,85847,2020,3,3,640,4,False
244,59810,2020,3,4,640,4,False
246,16482,2020,1,4,640,5,False
249,45653,2020,2,2,640,5,False
250,70967,2020,3,5,640,5,False
252,63138,2020,2,4,640,4,False
254,17811,2020,2,5,640,5,False
258,10370,2020,2,5,640,4,False
259,28567,2020,2,2,640,5,False
262,43435,2020,2,5,640,4,False
264,25621,2020,2,4,640,5,False
266,24948,2020,2,2,640,5,False
268,14459,2020,2,4,640,5,False
273,57716,2020,2,4,640,3,False
278,77961,2020,2,2,640,5,False
279,32533,2020,2,3,640,5,False
282,8481,2020,2,2,640,5,False
284,53690,2019,4,3,640,5,False
286,51055,2020,2,2,640,4,False
288,62791,2020,2,2,640,3,False
290,23746,2020,2,2,640,5,False
293,46065,2020,2,2,640,4,False
297,58995,2020,1,3,640,5,False
298,75223,2020,2,2,640,5,False
300,11099,2020,2,2,640,5,False
308,39393,2020,2,2,640,5,False
309,4453,2020,2,2,640,5,False
310,53132,2020,2,2,640,3,False
312,34227,2020,2,2,640,5,False
313,18600,2020,2,4,640,4,False
314,78886,2020,1,3,640,5,False
315,18325,2020,2,4,640,1,False
316,30475,2020,2,5,640,5,False
320,51292,2020,2,2,640,4,False
321,74902,2020,2,2,640,2,False
325,30233,2020,2,4,640,5,False
328,42707,2020,2,2,640,4,False
330,25682,2020,2,2,640,5,False
331,38154,2019,5,4,640,5,False
333,44234,2020,2,5,640,5,False
334,22217,2020,2,4,640,5,False
338,12892,2020,2,2,640,5,False
339,47829,2020,1,2,640,5,False
344,21300,2020,2,4,640,2,False
345,17884,2019,10,4,640,5,False
346,53500,2020,2,5,640,4,False
347,76106,2020,2,3,640,5,False
348,47053,2020,2,4,640,5,False
349,85394,2019,3,3,640,4,False
351,87911,2020,1,2,640,5,False
353,75196,2020,1,3,640,3,False
354,85613,2020,1,3,640,5,False
361,9756,2020,1,5,640,3,False
365,85188,2020,1,4,640,4,False
368,21447,2020,1,4,640,4,False
370,70281,2020,1,2,640,5,False
371,68787,2020,1,2,640,5,False
373,4179,2020,1,3,640,4,False
374,58932,2020,1,2,640,5,False
376,5021,2020,1,4,640,4,False
379,82983,2020,1,5,640,4,False
386,19681,2020,1,3,640,3,False
387,23890,2020,1,3,640,3,False
389,75107,2020,1,2,640,5,False
391,20362,2020,1,2,640,5,False
392,48488,2020,1,5,640,5,False
393,39504,2020,1,2,640,5,False
397,34060,2020,1,3,640,5,False
398,6355,2020,1,4,640,5,False
403,52542,2020,1,3,640,5,False
404,58772,2020,1,2,640,5,False
405,58750,2020,1,4,640,5,False
409,46971,2020,1,2,640,5,False
410,17018,2020,1,3,640,5,False
411,73591,2020,1,2,640,4,False
414,44572,2019,12,3,640,3,False
415,73334,2020,1,5,640,5,False
416,55962,2020,1,2,640,1,False
417,21235,2020,1,4,640,5,False
421,78327,2020,1,2,640,4,False
422,85955,2020,1,4,640,5,False
423,48535,2020,1,3,640,4,False
424,79458,2020,1,2,640,5,False
428,58461,2020,1,2,640,4,False
429,85351,2020,1,3,640,5,False
430,87932,2020,1,2,640,5,False
431,47662,2020,1,2,640,5,False
433,6464,2019,12,3,640,4,False
436,54547,2019,12,2,640,4,False
439,48254,2020,1,3,640,5,False
442,31313,2019,12,4,640,5,False
443,64200,2020,1,3,640,5,False
444,47878,2020,1,3,640,5,False
445,76383,2020,1,2,640,3,False
447,69047,2020,1,2,640,4,False
448,4704,2020,1,2,640,3,False
449,60786,2019,11,2,640,4,False
450,11567,2019,12,3,640,5,False
452,9721,2020,1,4,640,5,False
453,81917,2020,1,2,640,5,False
455,74047,2020,1,3,640,5,False
456,35064,2019,12,2,640,3,False
457,16210,2019,12,2,640,4,False
458,34475,2020,1,3,640,5,False
461,35014,2019,8,3,640,5,False
465,32271,2019,12,4,640,5,False
466,51045,2020,1,3,640,5,False
467,61162,2020,1,5,640,2,False
468,82738,2019,10,4,640,5,False
469,48073,2020,1,2,640,3,False
472,31427,2020,1,3,640,4,False
473,30811,2020,1,4,640,5,False
474,66675,2020,1,4,640,5,False
475,44748,2019,12,2,640,5,False
478,18295,2020,1,4,640,4,False
479,37703,2020,1,4,640,4,False
480,3850,2020,1,5,640,5,False
484,61329,2019,12,2,640,5,False
486,18016,2020,1,2,640,5,False
487,742,2020,1,2,640,5,False
488,71542,2019,12,2,640,5,False
489,57489,2020,1,3,640,5,False
490,22601,2019,12,2,640,4,False
491,87646,2019,4,5,640,5,False
492,57409,2019,12,3,640,5,False
495,75883,2020,1,4,640,5,False
497,35029,2019,12,4,640,5,False
498,60491,2020,1,5,640,5,False
503,22981,2019,12,4,640,5,False
504,34788,2019,12,3,640,5,False
508,8357,2019,12,3,640,4,False
511,25551,2020,1,3,640,3,False
514,46084,2019,12,2,640,5,False
515,81818,2019,12,3,640,5,False
516,10917,2019,12,2,640,5,False
518,9849,2019,12,5,640,5,False
521,30762,2019,12,3,640,5,False
524,33532,2019,12,4,640,5,False
525,20406,2019,12,3,640,5,False
526,67711,2019,12,5,640,5,False
530,54951,2019,12,3,640,5,False
532,1258,2019,12,3,640,4,False
534,80378,2019,12,2,640,5,False
535,16901,2019,12,2,640,5,False
536,27887,2019,12,2,640,3,False
537,26893,2019,12,3,640,3,False
538,6137,2019,12,2,640,5,False
541,52293,2019,12,4,640,3,False
542,68257,2019,12,3,640,4,False
543,43688,2019,12,3,640,5,False
544,37159,2019,12,3,640,3,False
546,13815,2019,12,2,640,4,False
549,15747,2019,12,2,640,4,False
550,83027,2019,12,3,640,4,False
551,61967,2019,12,3,640,5,False
552,43397,2019,12,2,640,4,False
553,62162,2019,12,2,640,3,False
554,46106,2019,12,2,640,4,False
555,67109,2019,12,2,640,4,False
556,52528,2019,12,2,640,5,False
557,22907,2019,12,4,640,5,False
558,37425,2019,12,5,640,5,False
559,41203,2019,12,2,640,5,False
562,20065,2019,12,2,640,5,False
563,73245,2019,12,3,640,5,False
565,73646,2019,12,5,640,4,False
568,84875,2019,12,3,640,4,False
570,23629,2019,12,3,640,4,False
573,30759,2019,12,3,640,3,False
575,1684,2019,12,4,640,4,False
576,68604,2019,12,2,640,5,False
579,58348,2019,12,2,640,5,False
580,54465,2019,12,4,640,5,False
581,75591,2019,12,2,640,4,False
583,61160,2019,11,3,640,4,False
587,19406,2019,12,2,640,4,False
588,69671,2019,12,2,640,4,False
591,88159,2019,12,2,640,4,False
592,46158,2019,12,3,640,5,False
594,65716,2019,12,3,640,5,False
598,26929,2019,12,2,640,5,False
602,19138,2019,11,2,640,5,False
604,54930,2019,12,2,640,5,False
605,22292,2019,12,5,640,5,False
608,61847,2019,12,2,640,4,False
611,39638,2019,12,2,640,5,False
612,75270,2019,12,2,640,5,False
614,81565,2019,12,2,640,5,False
615,1286,2019,11,4,640,4,False
617,21885,2019,12,3,640,3,False
618,59594,2019,12,2,640,4,False
623,54832,2019,12,2,640,5,False
625,62637,2019,12,5,640,4,False
626,66466,2019,12,3,640,4,False
627,12514,2019,12,3,640,5,False
628,26721,2019,12,2,640,3,False
629,57888,2019,12,2,640,5,False
631,59214,2019,12,5,640,5,False
634,16818,2019,12,3,640,5,False
635,35966,2019,12,4,640,4,False
637,43752,2019,12,3,640,4,False
638,25167,2019,12,3,640,5,False
640,17509,2019,12,4,640,5,False
641,12493,2019,12,2,640,4,False
642,50006,2019,2,3,640,5,False
645,59886,2019,11,4,640,4,False
648,88096,2019,12,2,640,5,False
650,86495,2019,11,4,640,5,False
651,71335,2019,10,4,640,5,False
652,43469,2019,12,2,640,4,False
653,62902,2019,9,2,640,5,False
655,842,2019,11,2,640,4,False
656,79806,2019,11,2,640,5,False
659,79106,2019,11,2,640,5,False
662,40004,2019,8,2,640,5,False
663,38965,2019,11,2,640,4,False
664,57241,2019,11,2,640,4,False
665,83593,2019,11,5,640,4,False
670,51833,2019,11,2,640,4,False
674,45575,2019,10,2,640,5,False
676,83403,2019,11,4,640,3,False
678,21800,2019,11,2,640,5,False
679,40371,2019,11,2,640,5,False
680,33602,2019,11,2,640,5,False
683,80509,2019,11,3,640,5,False
687,21032,2019,11,2,640,5,False
688,43991,2019,11,4,640,5,False
690,20101,2019,11,2,640,5,False
692,21002,2019,11,5,640,4,False
695,66976,2019,11,4,640,5,False
696,28784,2019,11,3,640,5,False
698,42092,2019,11,4,640,5,False
706,47891,2019,10,4,640,5,False
707,53973,2019,11,2,640,4,False
711,75059,2019,11,2,640,5,False
715,20317,2019,11,2,640,5,False
716,76909,2019,11,2,640,5,False
721,86520,2019,11,3,640,4,False
724,69256,2019,8,3,640,4,False
726,43343,2019,11,4,640,5,False
727,36630,2019,11,3,640,5,False
728,46043,2019,11,4,640,5,False
732,85645,2019,11,2,640,5,False
734,6578,2019,11,4,640,5,False
735,59262,2019,11,2,640,4,False
737,2322,2019,11,4,640,4,False
739,59472,2019,11,4,640,3,False
743,22780,2019,11,4,640,5,False
744,86490,2019,11,2,640,4,False
746,33842,2019,11,2,640,5,False
748,38379,2019,11,2,640,4,False
750,48560,2019,11,4,640,4,False
751,77923,2019,10,3,640,1,False
752,38836,2019,11,2,640,4,False
754,38110,2019,11,2,640,5,False
755,15549,2019,11,4,640,5,False
757,36219,2019,11,2,640,5,False
758,14472,2019,11,4,640,5,False
759,28964,2019,11,3,640,3,False
760,23832,2019,11,4,640,4,False
761,38620,2019,11,2,640,5,False
766,39924,2019,11,4,640,5,False
767,58141,2019,10,2,640,5,False
769,77358,2019,11,2,640,4,False
770,54424,2019,11,2,640,5,False
771,27001,2019,10,5,640,4,False
772,20211,2019,11,4,640,5,False
777,2449,2019,11,2,640,4,False
780,56064,2019,11,4,640,5,False
782,18783,2019,11,2,640,3,False
785,46208,2019,11,2,640,4,False
787,41136,2019,11,2,640,5,False
788,70751,2019,11,2,640,4,False
792,86510,2019,11,2,640,4,False
793,46093,2019,11,2,640,5,False
795,73421,2019,11,5,640,4,False
797,21907,2019,10,5,640,5,False
802,54148,2019,2,3,640,5,False
806,26141,2019,11,2,640,5,False
813,70273,2019,11,2,640,5,False
814,63138,2019,10,2,640,5,False
815,57016,2019,11,2,640,5,False
816,9624,2019,11,2,640,5,False
819,10723,2019,11,2,640,5,False
824,86375,2019,10,4,640,5,False
825,34781,2019,10,2,640,5,False
826,83171,2019,10,4,640,5,False
829,64335,2019,10,2,640,4,False
830,73509,2019,10,4,640,4,False
832,85910,2019,10,2,640,3,False
834,9694,2019,10,3,640,5,False
835,28545,2019,10,2,640,4,False
837,36962,2019,10,2,640,5,False
838,82189,2019,10,2,640,5,False
839,66378,2019,10,2,640,5,False
840,29051,2019,10,2,640,4,False
846,35119,2019,10,2,640,2,False
847,65681,2019,10,4,640,3,False
849,49821,2019,10,2,640,5,False
850,10389,2019,9,2,640,4,False
851,7246,2019,9,4,640,5,False
853,61195,2019,10,3,640,5,False
854,88085,2019,10,2,640,2,False
858,9956,2019,10,4,640,5,False
860,24782,2019,10,2,640,5,False
865,58334,2019,10,2,640,5,False
870,6032,2019,10,2,640,5,False
872,11927,2019,10,4,640,3,False
874,40692,2019,10,2,640,5,False
878,8302,2019,10,4,640,4,False
880,71914,2019,10,2,640,4,False
883,51251,2019,10,3,640,3,False
884,17352,2019,10,3,640,4,False
886,43865,2019,10,2,640,4,False
887,60790,2019,10,2,640,4,False
889,56045,2019,10,2,640,5,False
890,65680,2019,9,3,640,2,False
893,37087,2019,10,2,640,4,False
894,49782,2019,10,2,640,4,False
895,13579,2019,10,5,640,5,False
896,2108,2019,10,5,640,4,False
900,9406,2019,10,3,640,4,False
902,71386,2019,10,2,640,5,False
903,14379,2019,10,3,640,4,False
904,71725,2019,10,4,640,5,False
905,71189,2019,10,2,640,5,False
907,20413,2019,10,2,640,5,False
908,28978,2019,10,5,640,4,False
910,53872,2019,10,2,640,5,False
911,75539,2019,10,4,640,5,False
914,84262,2019,10,4,640,5,False
917,69566,2019,10,3,640,4,False
918,4217,2019,10,2,640,4,False
919,26333,2019,10,5,640,5,False
921,67211,2019,10,2,640,5,False
922,80948,2019,10,3,640,4,False
923,5716,2019,10,2,640,5,False
926,66941,2019,10,2,640,5,False
929,40884,2019,10,4,640,4,False
930,10654,2019,10,3,640,4,False
931,22737,2019,10,2,640,5,False
933,38667,2019,10,2,640,5,False
934,59662,2019,10,4,640,5,False
935,29058,2019,10,2,640,1,False
936,60526,2019,10,2,640,3,False
939,8950,2019,10,2,640,5,False
941,49649,2019,10,3,640,5,False
942,77383,2019,10,3,640,5,False
943,14126,2019,10,5,640,3,False
947,58656,2019,10,4,640,5,False
949,16491,2019,10,2,640,1,False
950,31295,2019,10,2,640,3,False
951,11384,2019,10,3,640,5,False
953,57986,2019,10,4,640,5,False
956,70516,2019,10,4,640,4,False
963,49083,2019,10,4,640,5,False
964,21736,2019,10,3,640,5,False
966,22247,2019,8,4,640,4,False
969,87304,2019,9,2,640,4,False
970,79692,2019,10,2,640,3,False
973,83606,2019,9,2,640,4,False
974,73172,2019,10,2,640,5,False
979,3832,2019,10,4,640,4,False
982,41256,2019,10,2,640,5,False
985,4804,2019,10,2,640,5,False
989,4428,2019,9,3,640,4,False
990,36927,2019,10,2,640,3,False
993,82987,2019,10,2,640,5,False
998,47578,2019,10,5,640,5,False
1000,72453,2019,10,5,640,5,False
1003,58233,2019,10,5,640,3,False
1005,36818,2019,10,4,640,4,False
1006,44851,2019,9,2,640,4,False
1008,65965,2019,10,2,640,5,False
1011,42866,2019,8,2,640,3,False
1012,42699,2019,10,2,640,3,False
1013,7203,2019,10,2,640,4,False
1015,52708,2019,9,2,640,4,False
1016,63259,2019,10,2,640,5,False
1021,40176,2019,10,2,640,4,False
1022,18444,2019,10,2,640,5,False
1023,28072,2019,9,2,640,5,False
1025,84861,2018,11,4,640,4,False
1029,56772,2019,10,2,640,5,False
1030,24984,2019,9,2,640,5,False
